Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
28727 - 2014,06/02/2015,5 - PREGÃO PRESENCIAL,952,SANTA CHIARA RESTAURANTE LTDA,6900,futuro ou eventual fornecimento de refeições a la carte em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal de Governo,Qual o valor gasto com futuro ou eventual fornecimento de refeições a la carte em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,BARRA PROJETOS E CONSTRUCOES LTDA,589387.29,COOPERATIVA DE TRABALHO E TRANSPORTE DE UBERLANDIA LTDA - CO,2,CASA DE CARNES BETIM EIRELI EPP,Prefeitura Municipal de Uberlândia
31122 - 2014,06/04/2015,5 - PREGÃO PRESENCIAL,1033,EPS EMPREENDIMENTOS S/A,5970,"futura ou eventual contratação de empresa especializada na prestação de serviços de hospedagem, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Governo,"Qual o valor gasto com futura ou eventual contratação de empresa especializada na prestação de serviços de hospedagem, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",BEIJA-FLORZINHO MATERIAIS PARA CONSTRUCAO EIRELI - ME,1599066.39,COPAGAZ DISTRIBUIDORA DE GAS S.A,9,CBC MOBILE LTDA - ME,Prefeitura Municipal de Uberlândia
19476 - 2015,15/09/2015,1 - CONVITE,422,CENTRO CULTURAL FOGAO DE MINAS LTDA,4160,"fornecimento de refeições tipicamente mineira (refeições completas com sobremesa à vontade, bebidas que podem ser água mineral, suco natural e refrigerante), em atendimento à Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de refeições tipicamente mineira (refeições completas com sobremesa à vontade, bebidas que podem ser água mineral, suco natural e refrigerante), em atendimento à Secretaria Municipal de Governo.",BETANIAMED COMERCIAL EIRELI - EPP,52882,CSC CONSTRUTORA SIQUEIRA CARDOSO EIRELI - EPP,3,CENTRO CULTURAL FOGAO DE MINAS LTDA,Prefeitura Municipal de Uberlândia
27354 - 2014,20/01/2015,5 - PREGÃO PRESENCIAL,898,CENTRO OESTE DISTRIBUIDORA DE PRODUTOS PET LTDA - EPP,51036.04,"aquisição de rações, grãos e suplementos alimentares para animais, em atendimento a Secretaria Municipal de Meio Ambiente.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com aquisição de rações, grãos e suplementos alimentares para animais, em atendimento a Secretaria Municipal de Meio Ambiente.",BH FOODS COMERCIO E INDUSTRIA LTDA-EPP,805989.2,CURINGA CAMINHOES LTDA,2,CENTRO OESTE DISTRIBUIDORA DE PRODUTOS PET LTDA - EPP,Prefeitura Municipal de Uberlândia
27878 - 2014,13/02/2015,5 - PREGÃO PRESENCIAL,918,C R BUFE E EVENTOS LTDA - ME,8718,"futuro ou eventual fornecimento de coffee break, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com futuro ou eventual fornecimento de coffee break, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",BILHAR SENA LTDA,16494.8,CURINGA VEICULOS LTDA,3,CENTURY COMERCIAL LTDA-ME,Prefeitura Municipal de Uberlândia
27844 - 2014,10/09/2014,5 - PREGÃO PRESENCIAL,915,TRADE MARKETING HOTEIS TURISMO E EVENTOS LTDA,5000,"futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",BIOFOR COMERCIO DE REAGENTES LTDA-EPP,16958.5,DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA - EPP,7,CESAR AUGUSTO DE FREITAS - ME,Prefeitura Municipal de Uberlândia
27354 - 2014,20/01/2015,5 - PREGÃO PRESENCIAL,898,LM COMERCIO LTDA - ME,20997.32,"aquisição de rações, grãos e suplementos alimentares para animais, em atendimento a Secretaria Municipal de Meio Ambiente.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com aquisição de rações, grãos e suplementos alimentares para animais, em atendimento a Secretaria Municipal de Meio Ambiente.",BIOHOSP PRODUTOS HOSPITALARES LTDA,21179.25,DIEGO ALBERTO RAMOS RAFAEL - ME,14,CESAR JUNIO DOS SANTOS E CIA LTDA,Prefeitura Municipal de Uberlândia
31122 - 2014,06/04/2015,5 - PREGÃO PRESENCIAL,1033,EPS EMPREENDIMENTOS S/A,1542,"futura ou eventual contratação de empresa especializada na prestação de serviços de hospedagem, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com futura ou eventual contratação de empresa especializada na prestação de serviços de hospedagem, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",BOHRER EQUIPAMENTOS DE AUDIO E VIDEO EIRELI-ME,2465,DOMINIUM INFORMATICA LTDA,6,CIENCIA MEDICAMENTOS ESPECIAIS LTDA ME,Prefeitura Municipal de Uberlândia
28727 - 2014,06/02/2015,5 - PREGÃO PRESENCIAL,952,SANTA CHIARA RESTAURANTE LTDA,690,futuro ou eventual fornecimento de refeições a la carte em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal do Meio Ambiente,Qual o valor gasto com futuro ou eventual fornecimento de refeições a la carte em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,BT CONSTRUCOES LTDA.,5133881.2,ELDORADO MATERIAIS PARA CONSTRUCAO LTDA - EPP,10,CIPLAN CONSULT PLANEJ E TECNOLOGIA DA INFORMACAO LTDA-EPP,Prefeitura Municipal de Uberlândia
24839 - 2015,20/11/2015,1 - CONVITE,660,BARACUI COMERCIAL LTDA - ME,376,"aquisição de diversos materiais (disco de dasbaste, disco de corte, cantoneira, perfil U, roldana, etc.), destinados a manutenção dos recintos dos animais no zoológico, em atendimento à Secretaria Municipal de Meio Ambiente.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com aquisição de diversos materiais (disco de dasbaste, disco de corte, cantoneira, perfil U, roldana, etc.), destinados a manutenção dos recintos dos animais no zoológico, em atendimento à Secretaria Municipal de Meio Ambiente.",BUDNY INDUSTRIA E COMERCIO EIRELI,105000,ELETRONICA UNAI LTDA - ME,2,CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE LTDA-EPP,Prefeitura Municipal de Uberlândia
31123 - 2014,09/04/2015,5 - PREGÃO PRESENCIAL,1034,DIEGO ALBERTO RAMOS RAFAEL - ME,6488,futura ou eventual fornecimento de produtos para coffee break em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal do Meio Ambiente,Qual o valor gasto com futura ou eventual fornecimento de produtos para coffee break em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,BUSCA PECAS COMERCIO LTDA - ME,1338900.01,ELETROTEL TECNOLOGIA LTDA - EPP,2,CITROBELL LTDA,Prefeitura Municipal de Uberlândia
27265 - 2013,05/06/2014,5 - PREGÃO PRESENCIAL,1208,MAXICROM INDUSTRIA GRAFICA LTDA - EPP,3045.5,"prestação de serviços gráficos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com prestação de serviços gráficos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",C A L VICENTE NUTRICAO ANIMAL ME,52430,ELFA MEDICAMENTOS LTDA,2,CLAITON RESENDE SERVICOS ELETRICOS S/S LTDA.,Prefeitura Municipal de Uberlândia
27353 - 2014,29/04/2015,5 - PREGÃO PRESENCIAL,897,REAL DISTRIBUIDORA DE CARNES LTDA,127311,"fornecimento de carne bovina e suina, em atendimento às Secretarias Municipais de Meio Ambiente e de Desenvolvimento Social e Trabalho.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com fornecimento de carne bovina e suina, em atendimento às Secretarias Municipais de Meio Ambiente e de Desenvolvimento Social e Trabalho.",C R BUFE E EVENTOS LTDA - ME,438512.22,EMPRESA MINEIRA DE COMPUTADORES LTDA,2,CLIFF MAIK AZEVEDO - ME,Prefeitura Municipal de Uberlândia
1132 - 2015,05/05/2015,5 - PREGÃO PRESENCIAL,3,COOPERATIVA AGROPECUARIA LTDA DE UBERLANDIA,29760,"futura ou eventual fornecimento de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândua.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com futura ou eventual fornecimento de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",C.B.S SONORIZACAO EIRELI,833000,ENGEPAC ENGENHARIA LTDA - EPP,3,CM HOSPITALAR LTDA,Prefeitura Municipal de Uberlândia
27723 - 2014,27/01/2015,5 - PREGÃO PRESENCIAL,911,OLIVEIRA & LOURENCO INDUSTRIA DE PANIFICACAO LTDA - ME,46747.5,"futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CADERPEL COMERCIO LTDA - ME,286685.2,EPS EMPREENDIMENTOS S/A,13,COELHO E FONTES LTDA - ME,Prefeitura Municipal de Uberlândia
13291 - 2015,26/08/2015,2 - TOMADA DE PREÇO,244,SERVICE CONSTRUCOES E SERVICOS LTDA - ME,832142.13,"Construção e implantação do Parque da Longevidade no bairro Jardins das Palmeiras, em Uberlândia - MG, com fornecimento de materiais e mão de obra, em atendimento à Secretaria Municipal de Meio Ambiente.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com Construção e implantação do Parque da Longevidade no bairro Jardins das Palmeiras, em Uberlândia - MG, com fornecimento de materiais e mão de obra, em atendimento à Secretaria Municipal de Meio Ambiente.",CAMILA LOUISE DE SOUZA,3100,FERNANDO BACCHIN AGROPECUARIA LTDA - EPP,2,COLDLAB INDUSTRIA COMERCIO E ASSISTENCIA TECNICA LTDA-ME,Prefeitura Municipal de Uberlândia
24839 - 2015,20/11/2015,1 - CONVITE,660,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,163.5,"aquisição de diversos materiais (disco de dasbaste, disco de corte, cantoneira, perfil U, roldana, etc.), destinados a manutenção dos recintos dos animais no zoológico, em atendimento à Secretaria Municipal de Meio Ambiente.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com aquisição de diversos materiais (disco de dasbaste, disco de corte, cantoneira, perfil U, roldana, etc.), destinados a manutenção dos recintos dos animais no zoológico, em atendimento à Secretaria Municipal de Meio Ambiente.",CAPERPASS INDU E COMERCIO DE ARTIGOS PLASTICOS LTDA - ME,11810.5,FRANCISCO VIEIRA DE MORAES - ME,4,COMERCIAL CIA DA GRAMA & SERVICOS LTDA,Prefeitura Municipal de Uberlândia
21802 - 2014,23/12/2014,5 - PREGÃO PRESENCIAL,714,ALGAR TELECOM S/A,14928.2,"prestação de serviços de telecomunicações e correlatos em atendimento às Secretarias e ao Órgãos da Administração Direta e Indireta da PMU, com atuação específica na área geográfica do Município de Uberlândia, iincluindo distritos e zona rural.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com prestação de serviços de telecomunicações e correlatos em atendimento às Secretarias e ao Órgãos da Administração Direta e Indireta da PMU, com atuação específica na área geográfica do Município de Uberlândia, iincluindo distritos e zona rural.",CAPITAL SEGURANCA CONTRA INCENDIO UBERLANDIA LTDA - ME,347635.16,GAMA EVENTOS E PRODUCOES LTDA - EPP,2,COMERCIAL DANTHAW LTDA - ME,Prefeitura Municipal de Uberlândia
25196 - 2014,02/03/2015,6 - PREGÃO ELETRÔNICO,806,FERNANDO BACCHIN AGROPECUARIA LTDA - EPP,13436.2,"aquisição de materiais (fertilizantes, adubo, cupinicida, calcário e outros), em atendimento às Secretarias Municipais de Agropecuária e Abastecimento e de Meio Ambiente.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com aquisição de materiais (fertilizantes, adubo, cupinicida, calcário e outros), em atendimento às Secretarias Municipais de Agropecuária e Abastecimento e de Meio Ambiente.",CARLOS ACHCAR EMPREENDIMENTOS IMOBILIARIOS EIRELI - EPP,642500,GISLAINE DE SOUZA - ME,2,COMVALLE PRODUTOS E ALIMENTOS LTDA - EPP,Prefeitura Municipal de Uberlândia
24839 - 2015,20/11/2015,1 - CONVITE,660,MADEIREIRA AIMORE EIRELI - EPP,562.69,"aquisição de diversos materiais (disco de dasbaste, disco de corte, cantoneira, perfil U, roldana, etc.), destinados a manutenção dos recintos dos animais no zoológico, em atendimento à Secretaria Municipal de Meio Ambiente.",Secretaria Municipal do Meio Ambiente,"Qual o valor gasto com aquisição de diversos materiais (disco de dasbaste, disco de corte, cantoneira, perfil U, roldana, etc.), destinados a manutenção dos recintos dos animais no zoológico, em atendimento à Secretaria Municipal de Meio Ambiente.",CARROCERIAS MAMBRINI TONDINELLI LTDA,11650,HEITA PRODUCOES E EVENTOS LTDA - ME,3,CONEXAO MEDICA COMERCIAL EIRELI- EPP,Prefeitura Municipal de Uberlândia
11638 - 2015,28/08/2015,5 - PREGÃO PRESENCIAL,197,COM TECH INFORMATICA LTDA,69242.4,futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,Procuradoria Geral do Município,Qual o valor gasto com futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,CASA DE CARNES BETIM EIRELI EPP,194652.4,IMPACTRON SERVICE LTDA-EPP,10,CONFIANCE MEDICAL PRODUTOS MEDICOS LTDA - EPP,Prefeitura Municipal de Uberlândia
27723 - 2014,27/01/2015,5 - PREGÃO PRESENCIAL,911,OLIVEIRA & LOURENCO INDUSTRIA DE PANIFICACAO LTDA - ME,6840,"futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Procuradoria Geral do Município,"Qual o valor gasto com futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CASA MARCELO DE FERRAGENS LTDA-EPP,7525,INFOPRINT COMERCIO E SERVICOS LTDA,2,CONKAST EQUIPAMENTOS TECNOLOGICOS LTDA ME,Prefeitura Municipal de Uberlândia
32311 - 2014,18/02/2015,1 - CONVITE,1070,MECATRON TECNICA LTDA - ME,3155,"prestação de serviços de assistência técnica com manutenção preventiva e corretiva em máquina de escrever, com fornecimento de peças, em atendimento à Procuradoria Geral do Município.",Procuradoria Geral do Município,"Qual o valor gasto com prestação de serviços de assistência técnica com manutenção preventiva e corretiva em máquina de escrever, com fornecimento de peças, em atendimento à Procuradoria Geral do Município.",CBC MOBILE LTDA - ME,116171,INTERSOM PROMOCOES E EVENTOS LTDA - ME,2,CONSTRUTORA FIEL ROSA LTDA EPP,Prefeitura Municipal de Uberlândia
19200 - 2015,01/09/2015,1 - CONVITE,416,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,1807,"contratação de apólice de seguro, para um imóvel que abriga a Diretoria de Compras e para 03 (três ) veículos de propriedade da Procuradoria Geral do Município, em atendimento à Secretaria Municipal de Administração e Procuradoria Geral do Municipio.",Procuradoria Geral do Município,"Qual o valor gasto com contratação de apólice de seguro, para um imóvel que abriga a Diretoria de Compras e para 03 (três ) veículos de propriedade da Procuradoria Geral do Município, em atendimento à Secretaria Municipal de Administração e Procuradoria Geral do Municipio.",CENTRO AUTOMOTIVO CENTRO OESTE LTDA - ME,137479.6,J MARANGONI COMERCIAL-IMPORTACAO E EXPORTACAO EIRELI-EPP,2,COPIADORA & CARIMBOS URGENTE LTDA - ME,Prefeitura Municipal de Uberlândia
27844 - 2014,10/09/2014,5 - PREGÃO PRESENCIAL,915,TRADE MARKETING HOTEIS TURISMO E EVENTOS LTDA,5000,"futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",Procuradoria Geral do Município,"Qual o valor gasto com futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",CENTRO CULTURAL FOGAO DE MINAS LTDA,4160,JUSTINO DAVINO PERES ME,2,COSTA CAMARGO COM DE PRODUTOS HOSPITALARES LTDA -EPP,Prefeitura Municipal de Uberlândia
31122 - 2014,06/04/2015,5 - PREGÃO PRESENCIAL,1033,EPS EMPREENDIMENTOS S/A,1870,"futura ou eventual contratação de empresa especializada na prestação de serviços de hospedagem, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Procuradoria Geral do Município,"Qual o valor gasto com futura ou eventual contratação de empresa especializada na prestação de serviços de hospedagem, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",CENTRO OESTE DISTRIBUIDORA DE PRODUTOS PET LTDA - EPP,51036.04,KI LIMPO DO BRASIL LTDA - EPP,6,CRISTAL PHARMA LTDA,Prefeitura Municipal de Uberlândia
